Split transaction,Date,Payee/Payer,Income,Expense,Category,Notes,Payment method,Status,Reference Number,Attachments,Tags
,28/31/26,,0,124,fun hobbies,Football,,,,,
,2/18/26,,0,100,PETROL,,,,,,
,3/29/26,,0,10,food,Her chips,,,,,
,3/30/26,,0,500,OTHER,,,,,,
,03-11-2026,,0,105,PETROL,,,,,,
,5/21/26,,0,199,recharge,,,,,,
,6/37/26,,0,35,food,Ice cream,,,,,
,7/58/26,,0,10,food,Juice,,,,,
,7/59/26,,0,30,food,Masala puri,,,,,
,7/0/26,,0,93,fun hobbies,Football,,,,,
,8/28/26,,0,20,food,Water bottle,,,,,
,8/28/26,,0,25,food,Sugarcane juice,,,,,
,8/28/26,,0,20,food,Khulfi,,,,,
,8/22/26,,20,0,OTHERS,She sent back for sugarcane?idk,,,,,
,9/45/26,,0,105,PETROL,,,,,,
,10-04-2026,,0,168,MEDICAL,Tabs,,,,,
,10-04-2026,,0,10,food,Coffee,,,,,
,10/28/26,,170,0,OTHERS,Tab,,,,,
,10/44/26,,0,23,food,Ors,,,,,
,10/18/26,,0,387,food,Toastmark,,,,,
,10/19/26,,150,0,,Michu sent,,,,,
,11/29/26,,0,70,fun hobbies,Football,,,,,
,11/29/26,,0,40,food,Juice,,,,,
,11/28/26,,0,3,OTHER,Sms,,,,,
,12/28/26,,0,130,food,Lav harshitha,,,,,
,12/29/26,,0,20,food,Stuff for her,,,,,
,12/30/26,,0,10,MEDICAL,Cough syrup,,,,,
,12/30/26,,0,30,food,Chocolates for her,,,,,
,13-10-2026,,0,27,stationary,Printout,,,,,
,13-11-2026,,0,100,OTHER,Sent mum,,,,,
,14/33/26,,0,100,food,Ramzan,,,,,
,15/21/26,,0,72,food,Salad cake,,,,,
,16/18/26,,0,34,food,Tea,,,,,
,17/18/26,,0,90,food,Coffeeee lime,,,,,
,17-04-2026,,0,70,food,Ice creams,,,,,
,18-08-2026,,0,113,Gifts,Vicky cake,,,,,
,18/58/26,,0,40,food,Dahi puri,,,,,
,20/55/26,,0,23,MEDICAL,Ors,,,,,
