date,amount,currency,merchant,category,payment_method,location,notes
2025-03-01,120,INR,Swiggy,Food,UPI,Bangalore,Lunch order
2025-03-01,850,INR,Amazon,Shopping,Card,Online,Electronics accessory
2025-03-02,60,INR,BMTC Bus,Transport,Cash,Bangalore,Bus fare
2025-03-02,2200,INR,Rent,Housing,UPI,Bangalore,Monthly rent share
2025-03-03,150,INR,Starbucks,Food,Card,Bangalore,Coffee
2025-03-03,499,INR,Netflix,Entertainment,Card,Online,Subscription
2025-03-04,1200,INR,BigBasket,Groceries,UPI,Online,Weekly groceries
2025-03-04,300,INR,Ola,Transport,UPI,Bangalore,Cab ride
2025-03-05,2000,INR,Decathlon,Sports,Card,Bangalore,Sports gear
2025-03-05,99,INR,Spotify,Entertainment,UPI,Online,Music subscription
2025-03-06,180,INR,Dominos,Food,UPI,Bangalore,Dinner
2025-03-06,5000,INR,Freelance Income,Income,Bank Transfer,Online,Project payment
2025-03-07,700,INR,Zomato,Food,UPI,Bangalore,Dinner
2025-03-07,120,INR,Metro,Transport,Card,Bangalore,Metro travel
2025-03-08,350,INR,Flipkart,Shopping,Card,Online,Clothing
2025-03-08,250,INR,Pharmacy,Health,Cash,Bangalore,Medicines
2025-03-09,1800,INR,Electricity Bill,Utilities,UPI,Bangalore,Monthly bill
2025-03-09,90,INR,Tea Stall,Food,Cash,Bangalore,Snacks
2025-03-10,15000,INR,Salary,Income,Bank Transfer,Online,Monthly salary
2025-03-10,450,INR,Uber,Transport,UPI,Bangalore,Ride
